#separator:tab
#notetype:Basic
#deck:SEFAZ SC::Trilha 3 - Infraestrutura-Seguranca
#tags column:3
Quando usar um Hypervisor Tipo 1 em vez de Tipo 2?	Tipo 1 (bare-metal) roda direto no hardware, sem sistema operacional hospedeiro — usado em datacenters/servidores de produção por ter menos overhead e mais desempenho. Tipo 2 roda como aplicação sobre um SO hospedeiro (ex: VirtualBox) — mais simples, usado em estações de trabalho/testes.	infraestrutura-seguranca virtualizacao
Quando um roteador opera em qual camada do modelo OSI, e por que isso é diferente de um switch?	Roteador opera na Camada 3 (Rede) — encaminha pacotes entre redes diferentes usando endereços IP. Switch opera na Camada 2 (Enlace) — encaminha quadros dentro da mesma rede local usando endereços MAC.	infraestrutura-seguranca redes
Quando usar NAT em vez de endereçamento IPv6 puro numa rede?	NAT é usado pra mitigar a escassez de endereços IPv4 (várias máquinas internas compartilham um IP público) — IPv6 tem endereços suficientes (128 bits) pra não precisar de NAT, embora ainda seja usado em cenários de transição/dual-stack entre IPv4 e IPv6.	infraestrutura-seguranca redes ipv4-ipv6
Quando usar Kubernetes em vez de rodar containers Docker isolados?	Kubernetes quando é preciso orquestrar múltiplos containers em escala (auto-scaling, self-healing, balanceamento de carga entre pods, deploy declarativo) — Docker sozinho cria e roda containers individuais, sem coordenar automaticamente um conjunto grande deles.	infraestrutura-seguranca docker-kubernetes
Quando um mecanismo de segurança garante Não Repúdio?	Quando é possível provar de forma inegável que uma ação/mensagem partiu de um autor específico, que não pode negar tê-la realizado — normalmente obtido via assinatura digital, diferente de autenticidade (que só confirma identidade, sem necessariamente impedir negação posterior).	infraestrutura-seguranca cia
Quando usar RBAC (Role-Based Access Control) em vez de conceder permissões individualmente a cada usuário?	"RBAC quando o controle de acesso é organizado por papéis/funções (ex: ""Analista"", ""Gerente"") — o usuário herda as permissões do papel atribuído, facilitando gestão em escala; conceder permissão individual não escala bem e é mais propenso a erro."	infraestrutura-seguranca iam
Quando usar um IPS em vez de um IDS?	IPS (Intrusion Prevention System) atua em linha e BLOQUEIA ativamente o tráfego malicioso detectado — IDS (Intrusion Detection System) só detecta e alerta, sem intervir automaticamente no fluxo.	infraestrutura-seguranca firewall-ids-ips
Quando usar Criptografia Assimétrica em vez de Simétrica?	Assimétrica (par de chaves pública/privada) quando é preciso trocar informação com alguém sem ter compartilhado uma chave secreta antecipadamente, ou pra assinatura digital — Simétrica (uma única chave) é muito mais rápida e usada quando ambas as partes já compartilham a chave com segurança (ex: criptografar dados em repouso).	infraestrutura-seguranca criptografia
Quando um Hash é usado em vez de Criptografia (simétrica ou assimétrica)?	Hash quando o objetivo é verificar integridade (detectar se um dado foi alterado) — é uma função de mão única, não reversível. Criptografia é usada quando o objetivo é confidencialidade (proteger o conteúdo), sendo reversível com a chave correta.	infraestrutura-seguranca criptografia
Quando usar Anonimização em vez de Pseudonimização de um dado pessoal (LGPD)?	"Anonimização remove permanentemente a possibilidade de reidentificar o titular (o dado deixa de ser ""dado pessoal"" pra fins legais) — Pseudonimização substitui identificadores por um código, mas mantém a possibilidade de reidentificação com uma chave adicional guardada separadamente, então ainda é considerado dado pessoal."	infraestrutura-seguranca lgpd
